name,facility_type,latitude,longitude,utm_easting,utm_northing
Tuai Police Station,Police station,-38.81145564,177.146168,1960042.7722425484,5695973.216272424
Waipukurau Police Station,Police station,-39.99350069,176.5551544,1903529.8991698467,5566907.645386934
Wairoa Police Station,Police station,-39.03442506,177.4212299,1982735.6374347082,5670092.939021975
Ashhurst Police Station,Police station,-40.29016974,175.753726,1834074.1743660765,5536396.993779525
Bulls Police Station,Police station,-40.17608398,175.3849031,1803060.6935702064,5549971.576559072
Dannevirke Police Station,Police station,-40.20809184,176.0992404,1863767.0938718042,5544538.394062029
Eketahuna Police Station,Police station,-40.64332961,175.7043019,1828670.5552306005,5497319.086351315
Eltham Police Station,Police station,-39.42994312,174.2990294,1711803.1813066755,5634705.34387193
Feilding Police Station,Police station,-40.22539854,175.5670477,1818412.52128663,5544064.344461442
Fitzroy Police Station,Police station,-39.04925269,174.1028151,1695429.6819517966,5677179.146687529
Foxton Beach Police Station,Police station,-40.46003755,175.2190873,1788150.8748374071,5518816.054545494
Foxton Police Station,Police station,-40.471004,175.2817554,1793433.3074128134,5517463.124001817
Gonville Police Station,Police station,-39.94227032,175.0224512,1772787.4988879526,5576691.866350743
H?wera Police Station,Police station,-39.5879632,174.2844312,1710296.5508620117,5617185.293618265
Highbury Community Policing Centre,Police station,-40.35908664,175.586427,1819628.0084625932,5529175.094731541
Hunterville Police Station,Police station,-39.93646521,175.5682669,1819442.6084872666,5576136.128564792
Inglewood Police Station,Police station,-39.15936204,174.206879,1704272.515751823,5664845.050788771
Kimbolton Police Station,Police station,-40.05822432,175.7799678,1837111.7021907037,5562076.857893884
Levin Police Station,Police station,-40.62063242,175.2857969,1793344.9357211592,5500843.320169966
Linton Community Policing Centre,Police station,-40.41244223,175.5919537,1819923.6246728695,5523238.022731694
Marton Police Station,Police station,-40.0692665,175.3767846,1802686.5526404448,5561847.81527524
Massey University Police Station,Police station,-40.38778222,175.6204432,1822422.3961278335,5525904.355696344
M?kau Police Station,Police station,-38.69444586,174.6192541,1740819.247276638,5715886.01321769
National Park Police Station,Police station,-39.17225564,175.3967826,1807049.776417811,5661371.396983893
New Plymouth Central Police Station,Police station,-39.05996227,174.0707326,1692639.4291953964,5676023.817506514
Norsewood Police Station,Police station,-40.07022659,176.2157175,1874236.202759307,5559491.478603789
Ohakea Patrol Base Weigh Station,Police station,-40.20220813,175.3965003,1803969.90300285,5547044.928903783
Ohakune Police Station,Police station,-39.41657469,175.3963162,1806290.7694061887,5634254.000257509
Okato Police Station,Police station,-39.19403757,173.879763,1675972.3201075697,5661321.888181762
